,mass_grams,fall,year,reclat,reclong,elevation,FIPS,area_sqkm,BARE,CROPL,FOREST,GRSL,SHRUBL,SPARSE_VEGETATION,URBAN,WATER,WETL,Achrondrite,Chrondrite,Iron,Mesosiderite,Pallasite
92,2400.0,1,1956,31.991670000000006,-98.65167,407.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
93,93500.0,1,1939,32.0,-101.5,784.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
94,6000.0,1,1940,31.75,-97.75,299.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
95,46500.0,1,1936,29.01667,-97.28333,80.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
96,4400.0,1,1968,36.04333,-102.40833,1203.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
97,689000.0,1,1903,30.75,-104.25,1687.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,0,1,0,0
98,50600.0,1,1940,29.1,-97.6,149.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
99,3770.0,1,1981,29.00833,-97.70556,119.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
100,7682.0,1,1981,34.86,-102.12,1127.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
101,257.6,1,1981,34.86,-102.12,1127.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
102,3596.0,1,1965,29.366670000000006,-100.96667,288.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,0,1,0,0
103,5400.0,1,1856,33.0,-97.0,167.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,0,1,0,0
104,26100.0,1,1975,33.07139,-102.80028,1094.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,0,1,0,0
105,15000.0,1,1926,33.51667,-95.3,131.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,0,1,0,0
106,604.0,1,1944,33.51667,-95.3,131.0,48,695662,0.32173056850000004,22.4841042032,12.810791549600001,27.9689619084,32.543053734299995,0.0377199809,2.1671262177,1.1316891820000001,0.5348226555,0,1,0,0,0
