,mass (g),fall,year,reclat,reclong,state,elevation,BARE,CROPL,FOREST,GRSL,SHRUBL,SPARSE_VEGETATION,URBAN,WATER,WETL,Acapulcoite,Aubrite,Aubrite-an,C,C2-ung,C4-ung,CBa,CK3,CK4,CK5,CM1,CM2,CO3.0,CO3.3,CO3.7,CR,CV3,Diogenite,Diogenite-pm,EH4/5,EL6,EL6/7,Eucrite,Eucrite-cm,Eucrite-mmict,Eucrite-pmict,H,H(5?),H-melt rock,H-metal,H/L4,H3,H3-4,H3-5,H3-6,H3.10,H3.4,H3.5,H3.6,H3.7,H3.8,H3.9,H4,H4-6,H4-an,H4/5,H4/6,H5,H5-6,H6,H?,Howardite,Iron,"Iron, IAB complex","Iron, IAB-MG","Iron, IAB-an","Iron, IAB-sHH","Iron, IAB-sHL","Iron, IAB-sLH","Iron, IAB-sLL","Iron, IAB-sLM","Iron, IAB-ung","Iron, IC","Iron, IIAB","Iron, IIC","Iron, IID","Iron, IIE","Iron, IIE-an","Iron, IIF","Iron, IIG","Iron, IIIAB","Iron, IIIAB?","Iron, IIIE","Iron, IIIF","Iron, IVA","Iron, IVB","Iron, ungrouped",K3,L,L-imp melt,L/LL3.4,L/LL4,L/LL5,L/LL6,L3,L3-6,L3.2,L3.4,L3.5,L3.5-5,L3.6,L3.7,L4,L4-6,L5,L5-7,L5/6,L6,L6/7,LL3,LL3.1,LL3.3,LL3.4,LL3.7,LL4,LL5,LL6,Martian (nakhlite),Mesosiderite,Mesosiderite-A1,Mesosiderite-A2,Mesosiderite-A3,Mesosiderite-A3/4,Mesosiderite-B4,OC,Pallasite,"Pallasite, PES","Pallasite, PMG","Pallasite, PMG-an","Pallasite, ungrouped",R3-6,Ureilite,Winonaite
20,1600.0,0,1877,38.68333,-91.15,23,173.0,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,24500.0,1,1903,37.06667,-93.55,23,416.0,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,41000.0,1,1874,38.3,-94.36667,23,257.0,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,17000.0,1,2006,40.266667,-94.68333299999999,23,318.0,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,566.0,1,1969,39.59167,-94.92194,23,339.0,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100000.0,1,1966,39.61667,-94.86667,23,329.0,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,46500.0,1,1933,38.65,-94.33333,23,295.0,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,55400.0,1,1946,36.82444,-93.76111,23,391.0,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,13780.0,1,1932,36.53333,-91.8,23,269.0,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2040.0,1,2000,40.2875,-95.37666999999999,23,305.0,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,89400.0,1,1857,36.55,-93.1,23,270.0,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,17500.0,1,1906,37.73333,-89.85,23,162.0,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,25900.0,1,1940,37.2375,-92.78694,23,481.0,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
