,mass (g),fall,year,reclat,reclong,elevation,FIPS,Area(sq.km),BARE,CROPL,FOREST,GRSL,SHRUBL,SPARSE_VEGETATION,URBAN,WATER,WETL,Achrondrite,Chrondrite,Iron,Mesosiderite,Pallasite
448,28400.0,0,1847,41.9,-91.6,243,19,145746,0.0059890014,83.58759206100001,4.4398640656,10.1884044452,0.0186560045,0.0,0.9413862259,0.6029811447,0.2151270516,0,1,0,0,0
449,17600.0,0,1894,47.81667,-96.85,254,27,225163,0.1281348475,49.1353461904,34.3346218731,7.439036035499999,0.234518955,0.021114132999999997,1.1538148676,5.5396128722,2.0138002256,0,1,0,0,0
450,6067.0,0,1924,36.78333,-78.08333,91,51,110787,0.1951075623,10.9273442625,58.4511145125,23.2549283187,0.9016478848,0.025975207599999998,2.9673372771,2.6451419758,0.6314029986999999,0,1,0,0,0
451,329.7,0,2010,38.70066,-77.21163,27,51,110787,0.1951075623,10.9273442625,58.4511145125,23.2549283187,0.9016478848,0.025975207599999998,2.9673372771,2.6451419758,0.6314029986999999,0,1,0,0,0
452,925.0,1,1979,38.48417,-113.13638999999999,1810,49,219882,9.9956585325,3.5237132919,29.3834870512,5.6066349696,47.5653562829,0.21180886170000002,0.627986075,2.940054407,0.1453005282,0,1,0,0,0
453,15.6,1,1985,39.16278,-112.70806,1392,49,219882,9.9956585325,3.5237132919,29.3834870512,5.6066349696,47.5653562829,0.21180886170000002,0.627986075,2.940054407,0.1453005282,0,1,0,0,0
454,17.69,1,2001,38.99861,-113.38167,1466,49,219882,9.9956585325,3.5237132919,29.3834870512,5.6066349696,47.5653562829,0.21180886170000002,0.627986075,2.940054407,0.1453005282,0,1,0,0,0
455,9.0,1,1986,38.67667,-113.30167,1421,49,219882,9.9956585325,3.5237132919,29.3834870512,5.6066349696,47.5653562829,0.21180886170000002,0.627986075,2.940054407,0.1453005282,0,1,0,0,0
456,680.0,0,1859,38.25,-86.16667,211,18,94326,0.0452199096,74.146896341,15.7951744014,5.2049022006,0.049255930700000006,0.0060128477,4.0370094896,0.6833230785,0.0322058008,0,1,0,0,0
457,3650.0,1,2002,35.8675,-114.19167,827,4,295234,2.1127645068,1.8649596945,16.8468626318,1.6678386694,75.7951884087,0.1518946884,1.3227658986,0.1864150216,0.0513104801,0,1,0,0,0
